observation_date,INDI918UR
1/1/1990,3.5
2/1/1990,3.5
3/1/1990,3.5
4/1/1990,3.5
5/1/1990,3.5
6/1/1990,3.5
7/1/1990,3.5
8/1/1990,3.5
9/1/1990,3.6
10/1/1990,3.7
11/1/1990,3.8
12/1/1990,4
1/1/1991,4.1
2/1/1991,4.2
3/1/1991,4.2
4/1/1991,4.2
5/1/1991,4.1
6/1/1991,4.1
7/1/1991,4
8/1/1991,4
9/1/1991,4.1
10/1/1991,4.2
11/1/1991,4.3
12/1/1991,4.4
1/1/1992,4.5
2/1/1992,4.6
3/1/1992,4.8
4/1/1992,4.9
5/1/1992,5
6/1/1992,5.1
7/1/1992,5.1
8/1/1992,5
9/1/1992,4.9
10/1/1992,4.8
11/1/1992,4.7
12/1/1992,4.6
1/1/1993,4.5
2/1/1993,4.5
3/1/1993,4.5
4/1/1993,4.5
5/1/1993,4.4
6/1/1993,4.4
7/1/1993,3.4
8/1/1993,3.4
9/1/1993,3.5
10/1/1993,3.5
11/1/1993,3.6
12/1/1993,3.8
1/1/1994,3.9
2/1/1994,3.9
3/1/1994,3.9
4/1/1994,3.9
5/1/1994,3.9
6/1/1994,3.9
7/1/1994,3.9
8/1/1994,3.9
9/1/1994,3.9
10/1/1994,3.9
11/1/1994,3.7
12/1/1994,3.7
1/1/1995,3.6
2/1/1995,3.6
3/1/1995,3.7
4/1/1995,3.8
5/1/1995,3.8
6/1/1995,3.8
7/1/1995,3.7
8/1/1995,3.7
9/1/1995,3.6
10/1/1995,3.6
11/1/1995,3.6
12/1/1995,3.6
1/1/1996,3.5
2/1/1996,3.5
3/1/1996,3.4
4/1/1996,3.4
5/1/1996,3.3
6/1/1996,3.2
7/1/1996,3.1
8/1/1996,3
9/1/1996,2.8
10/1/1996,2.8
11/1/1996,2.7
12/1/1996,2.7
1/1/1997,2.7
2/1/1997,2.7
3/1/1997,2.7
4/1/1997,2.7
5/1/1997,2.7
6/1/1997,2.7
7/1/1997,2.7
8/1/1997,2.7
9/1/1997,2.8
10/1/1997,2.7
11/1/1997,2.7
12/1/1997,2.6
1/1/1998,2.6
2/1/1998,2.5
3/1/1998,2.5
4/1/1998,2.1
5/1/1998,2.2
6/1/1998,2.4
7/1/1998,2.5
8/1/1998,2.5
9/1/1998,2.5
10/1/1998,2.5
11/1/1998,2.5
12/1/1998,2.4
1/1/1999,2.4
2/1/1999,2.3
3/1/1999,2.3
4/1/1999,2.2
5/1/1999,2.2
6/1/1999,2.2
7/1/1999,2.3
8/1/1999,2.4
9/1/1999,2.4
10/1/1999,2.5
11/1/1999,2.5
12/1/1999,2.5
1/1/2000,2.6
2/1/2000,2.6
3/1/2000,2.6
4/1/2000,2.6
5/1/2000,2.6
6/1/2000,2.6
7/1/2000,2.6
8/1/2000,2.5
9/1/2000,2.5
10/1/2000,2.4
11/1/2000,2.4
12/1/2000,2.5
1/1/2001,2.6
2/1/2001,2.7
3/1/2001,2.8
4/1/2001,2.9
5/1/2001,3
6/1/2001,3.2
7/1/2001,3.4
8/1/2001,3.7
9/1/2001,3.9
10/1/2001,4.2
11/1/2001,4.4
12/1/2001,4.6
1/1/2002,4.7
2/1/2002,4.7
3/1/2002,4.7
4/1/2002,4.7
5/1/2002,4.7
6/1/2002,4.7
7/1/2002,4.7
8/1/2002,4.7
9/1/2002,4.7
10/1/2002,4.7
11/1/2002,4.7
12/1/2002,4.6
1/1/2003,4.6
2/1/2003,4.5
3/1/2003,4.5
4/1/2003,4.6
5/1/2003,4.7
6/1/2003,4.8
7/1/2003,4.9
8/1/2003,5
9/1/2003,5
10/1/2003,5
11/1/2003,5
12/1/2003,5
1/1/2004,4.9
2/1/2004,4.9
3/1/2004,4.9
4/1/2004,4.8
5/1/2004,4.8
6/1/2004,4.8
7/1/2004,4.8
8/1/2004,4.9
9/1/2004,5
10/1/2004,5.1
11/1/2004,5.2
12/1/2004,5.2
1/1/2005,5.2
2/1/2005,5.1
3/1/2005,5
4/1/2005,4.9
5/1/2005,4.9
6/1/2005,4.8
7/1/2005,4.9
8/1/2005,5
9/1/2005,5
10/1/2005,5
11/1/2005,4.9
12/1/2005,4.8
1/1/2006,4.7
2/1/2006,4.5
3/1/2006,4.4
4/1/2006,4.4
5/1/2006,4.5
6/1/2006,4.5
7/1/2006,4.5
8/1/2006,4.5
9/1/2006,4.5
10/1/2006,4.4
11/1/2006,4.4
12/1/2006,4.3
1/1/2007,4.2
2/1/2007,4.2
3/1/2007,4.1
4/1/2007,4.1
5/1/2007,4.1
6/1/2007,4.1
7/1/2007,4.2
8/1/2007,4.2
9/1/2007,4.3
10/1/2007,4.3
11/1/2007,4.3
12/1/2007,4.3
1/1/2008,4.3
2/1/2008,4.4
3/1/2008,4.5
4/1/2008,4.6
5/1/2008,4.8
6/1/2008,5
7/1/2008,5.2
8/1/2008,5.4
9/1/2008,5.6
10/1/2008,6
11/1/2008,6.5
12/1/2008,7
1/1/2009,7.7
2/1/2009,8.2
3/1/2009,8.7
4/1/2009,9
5/1/2009,9.1
6/1/2009,9.1
7/1/2009,9.1
8/1/2009,9.1
9/1/2009,9.1
10/1/2009,9.1
11/1/2009,9.3
12/1/2009,9.5
1/1/2010,9.7
2/1/2010,9.8
3/1/2010,9.8
4/1/2010,9.7
5/1/2010,9.6
6/1/2010,9.4
7/1/2010,9.2
8/1/2010,9.1
9/1/2010,9
10/1/2010,9
11/1/2010,8.9
12/1/2010,8.8
1/1/2011,8.7
2/1/2011,8.6
3/1/2011,8.5
4/1/2011,8.5
5/1/2011,8.5
6/1/2011,8.6
7/1/2011,8.6
8/1/2011,8.7
9/1/2011,8.6
10/1/2011,8.6
11/1/2011,8.4
12/1/2011,8.3
1/1/2012,8.2
2/1/2012,8
3/1/2012,8
4/1/2012,7.9
5/1/2012,7.9
6/1/2012,7.9
7/1/2012,7.9
8/1/2012,7.8
9/1/2012,7.8
10/1/2012,7.9
11/1/2012,7.9
12/1/2012,8
1/1/2013,8
2/1/2013,8
3/1/2013,7.9
4/1/2013,7.7
5/1/2013,7.5
