Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
Population Age 16 and Over,"649,398","±4,609","106,142","±5,119","543,256","±6,787"
EMPLOYMENT STATUS,,,,,,
    Employed,62.60%,±1.1,23.30%,±2.2,70.30%,±1.3
    Not in Labor Force,31.70%,±1.1,72.20%,±2.5,23.80%,±1.2
Employed Population Age 16 and Over,"406,552","±7,954","24,717","±2,753","381,835","±8,107"
CLASS OF WORKER,,,,,,
    Private for-profit wage and salary workers,78.00%,±1.2,77.30%,±4.3,78.00%,±1.2
    Employee of private company workers,75.60%,±1.2,73.90%,±4.8,75.70%,±1.2
    Self-employed in own incorporated business workers,2.30%,±0.4,3.40%,±2.0,2.30%,±0.4
    Private not-for-profit wage and salary workers,8.60%,±0.8,9.10%,±3.3,8.60%,±0.8
    Local government workers,4.90%,±0.7,2.30%,±1.5,5.00%,±0.7
    State government workers,3.20%,±0.4,2.00%,±1.0,3.30%,±0.4
    Federal government workers,1.70%,±0.4,2.80%,±1.3,1.60%,±0.4
    Self-employed in own not incorporated business workers,3.50%,±0.5,6.40%,±2.6,3.30%,±0.5
    Unpaid family workers,0.20%,±0.1,0.20%,±0.3,0.20%,±0.1
OCCUPATION,,,,,,
"    Management, business, science, and arts occupations",34.20%,±1.5,24.60%,±5.1,34.80%,±1.5
    Service occupations,17.70%,±1.2,20.70%,±4.8,17.50%,±1.3
    Sales and office occupations,25.90%,±1.3,27.00%,±4.2,25.80%,±1.4
"    Natural resources, construction, and maintenance occupations",7.10%,±0.7,5.80%,±2.1,7.20%,±0.7
"    Production, transportation, and material moving occupations",15.20%,±1.2,21.90%,±4.9,14.80%,±1.1
INDUSTRY,,,,,,
"    Agriculture, forestry, fishing and hunting, and mining",0.20%,±0.1,0.50%,±0.6,0.20%,±0.1
    Construction,5.40%,±0.6,6.10%,±2.7,5.30%,±0.7
    Manufacturing,10.50%,±0.9,13.10%,±3.5,10.40%,±0.9
    Wholesale trade,3.50%,±0.5,2.40%,±1.3,3.60%,±0.5
    Retail trade,13.20%,±1.0,18.00%,±5.0,12.90%,±1.0
"    Transportation and warehousing, and utilities",6.80%,±0.8,7.40%,±2.6,6.80%,±0.8
    Information,2.10%,±0.3,1.60%,±1.3,2.10%,±0.3
"    Finance and insurance, and real estate and rental and leasing",6.10%,±0.6,5.10%,±2.0,6.10%,±0.7
"    Professional, scientific, and management, and administrative and waste management services",11.90%,±0.7,11.80%,±3.3,11.90%,±0.7
"    Educational services, and health care and social assistance",20.50%,±1.1,18.80%,±4.2,20.60%,±1.2
"    Arts, entertainment, and recreation, and accommodation and food services",11.20%,±1.1,8.80%,±2.7,11.30%,±1.2
    Other services (except public administration),5.00%,±0.6,4.10%,±2.2,5.10%,±0.7
    Public administration,3.50%,±0.6,2.30%,±1.1,3.60%,±0.6
COMMUTING TO WORK,,,,,,
    Workers Age 16 and Over,"399,402","±7,759","23,924","±2,694","375,478","±7,838"
"        Car, truck, or van - drove alone",81.80%,±1.3,73.80%,±4.7,82.30%,±1.3
"        Car, truck, or van - carpooled",9.30%,±1.1,9.80%,±3.3,9.20%,±1.1
        Public transportation (excluding taxicab),1.90%,±0.4,5.00%,±2.5,1.80%,±0.4
        Walked,2.00%,±0.5,3.40%,±1.6,1.90%,±0.5
"        Taxicab, motorcycle, bicycle, or other means",1.80%,±0.4,4.60%,±2.7,1.60%,±0.4
        Worked at home,3.20%,±0.4,3.40%,±1.8,3.20%,±0.5
EDUCATIONAL ATTAINMENT,,,,,,
    Population Age 25 and Over,"548,271","±3,687","100,414","±4,921","447,857","±5,686"
        Less than high school graduate,14.90%,±0.9,25.90%,±2.1,12.40%,±0.9
        High school graduate (includes equivalency),27.40%,±1.0,33.80%,±2.5,26.00%,±1.1
        Some college or associate's degree,28.10%,±1.2,26.30%,±2.2,28.40%,±1.2
        Bachelor's degree or higher,29.60%,±0.9,14.00%,±1.8,33.10%,±1.0
EARNINGS IN PAST 12 MONTHS (IN 2015 INFLATION ADJUSTED DOLLARS),,,,,,
    Population Age 16 and over with earnings,"449,309","±7,660","30,820","±3,270","418,489","±8,109"
"        $1 to $4,999 or loss",10.90%,±0.7,17.30%,±3.9,10.40%,±0.7
